"geneSymbol","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"AKR1C4",0,0,0,5,15,12
"AKR1C6P",1,0,2,9,4,5
"AKR1C8P",0,0,0,25,29,70
"AKR1D1",0,2,0,0,0,0
"AKR1E2",6,10,188,145,184,150
"AKR7A2",425,242,507,567,1862,659
"AKR7A2P1",2,0,15,14,8,6
"AKR7A3",27,20,8,15,17,16
"AKR7L",57,27,18,26,11,11
"AKT1",3135,5130,2741,2144,3847,5039
"AKT1S1",527,586,590,536,730,706
"AKT2",2768,2150,2135,3038,3766,4786
"AKT3",62,12,9,69,22,14
"AKTIP",51,72,27,83,37,42
"ALAD",1866,821,4056,2952,1482,1827
"ALAS1",457,1208,1166,1132,616,786
"ALAS2",2481,2910,23424,14524,1751,210
"ALB",8,2,3,2,1,0
"ALCAM",1381,967,204,188,25,17
"ALDH16A1",1239,428,733,900,1807,744
"ALDH18A1",927,335,582,625,2139,1644
"ALDH1A1",97,4417,254,4063,1372,29
"ALDH1A2",4,0,0,1,4,1
"ALDH1A3",19,1,17,25,2,9
"ALDH1B1",64,25,140,65,486,126
"ALDH1L1",2,1,1,1,3,1
"ALDH1L1-AS1",1,0,0,3,0,1
"ALDH1L1-AS2",0,0,0,0,0,0
"ALDH1L2",4,5,0,14,44,5
"ALDH2",83,168,43,646,146,82
"ALDH3A1",1,8,3,1,8,0
"ALDH3A2",50,55,87,102,360,33
"ALDH3B1",1622,1583,604,990,631,67
"ALDH3B2",0,0,0,0,1,5
"ALDH4A1",252,71,386,236,584,716
"ALDH5A1",408,316,486,454,852,624
"ALDH6A1",217,112,116,149,343,298
"ALDH7A1",70,37,7,417,451,902
"ALDH8A1",14,5,2,10,11,23
"ALDH9A1",1294,672,425,1215,732,767
"ALDOA",11587,11455,9069,13108,21127,9248
"ALDOB",0,0,0,1,1,2
"ALDOC",43,16,153,91,237,38
"ALG1",146,106,96,71,358,189
"ALG10",217,171,73,208,147,144
