"","DS_01_58500","DS_02_48905","DS_03_52613","M7_01_817151","M7_02_818438","M7_03_817389"
"CLUAP1",2.27655035473796,2.59334695271188,2.26960687936386,1.83210642859607,2.87745744717247,2.77507514181902
"CLUH",5.74613290384342,4.41406832927037,5.89635636710619,5.63292443398333,5.67633213884171,5.35114339290263
"CLUHP3",2.72960117995354,0.279569698945378,3.43098830512478,2.33138046504294,1.33621632388063,0.301491632736602
"CLYBL",1.31797028211794,-0.584775201697056,0.357479635389199,0.684830166098955,1.21654609321801,0.0761993208943598
"CMAHP",5.96834468346663,5.826355493519,4.53467263729555,3.57454023540179,3.84881430871752,1.31015649386373
"CMAS",4.63170897919196,4.23703965503208,5.40821876790367,5.24885497180849,5.99492517743132,5.03562990474495
"CMBL",1.52078716511763,3.48517367586551,4.08589492619148,3.99728906122891,3.94843383307436,4.92997011349828
"CMC1",2.33151681395589,1.89137381188518,2.60402591843442,1.79511222111387,2.46979947825922,2.22566021977696
"CMC2",3.19243940003408,3.00940582905348,4.20365380633733,4.277636465005,3.07962732731202,3.67966895056863
"CMC4",0.574942935164535,1.16324558097815,0.842906462559441,0.737779046047914,1.06886892517575,1.06600355378847
"CMIP",5.44543744603415,6.04009053525153,4.92816334765997,5.07586290932632,6.75913879736845,6.12765720868921
"CMPK1",6.60662600277343,6.00978865910505,5.68399083614415,6.86613338897247,6.36001894064832,6.61754138762621
"CMPK2",5.22486087772646,5.39602349193966,5.48376172553007,4.14180822115017,3.9601251048423,2.15045387558778
"CMSS1",2.69508529825303,2.99710131915036,3.32095375936409,3.04402551870301,3.87127887224334,2.94047267170461
"CMTM2",-2.53548105452912,1.56445080707742,-2.25395507669315,-1.30174931813872,2.02946054061752,-0.458837954495114
"CMTM3",5.99128491403986,8.60257687150344,4.89917468220619,3.18415451185976,4.95487575384448,4.54024166586226
"CMTM4",4.85917650670416,6.18001134703713,1.60954292340199,1.73126573908924,1.81959095292263,2.98444392414885
"CMTM5",-2.29447295502532,-0.51262541594122,-0.294597061190494,4.85400591016743,7.10525643730402,5.62124535638963
"CMTM6",7.0168387221503,6.76576737822942,5.01802662640678,6.57794737319151,7.07277812225909,6.85478550897482
"CMTM7",4.89611151698308,5.3901540979983,2.98974785088871,4.15403452348343,2.31087347576617,2.98984728267819
"CMTR1",5.75872194568697,6.11174656675804,5.85166247795126,5.83172592086845,5.27715440031682,5.59578020578558
"CMTR2",3.31570010849312,2.25394389126988,3.98338768610927,3.62460159147561,4.01271727678294,4.58733947169224
"CNBP",7.25582985588423,7.31144074783651,7.12614517933032,7.35288671038924,7.32552255753208,6.70514538461352
